,precision,recall,f1-score,support
Blackhole,0.6011380118263974,0.995197635759143,0.7495305001043332,5414.0
Flooding,0.875721027792344,0.88688263409453,0.8812664907651715,1883.0
Grayhole,0.9633754551295781,0.4865332612222823,0.6465430501653011,9245.0
Normal,0.9907020780734123,0.997643342932718,0.9941605946107915,204527.0
Scheduling,0.978161965423112,0.8653072176012879,0.9182801822323463,3727.0
accuracy,0.9734425879464047,0.9734425879464047,0.9734425879464047,0.9734425879464047
macro avg,0.8818197076489687,0.8463128183219922,0.8379561635755888,224796.0
weighted avg,0.9790249094347176,0.9734425879464047,0.9717690154700047,224796.0
