,precision,recall,f1-score,support
Blackhole,0.8788713007570543,0.4717399335057259,0.6139423076923076,5414.0
Flooding,0.8528138528138528,0.8369622942113648,0.8448137228625034,1883.0
Grayhole,0.6775693176158061,0.8828555976203353,0.7667089380489408,9245.0
Normal,0.9923790622189199,0.9925779970370661,0.9924785196592479,204527.0
Scheduling,0.9425320886814469,0.8669170914944996,0.9031446540880502,3727.0
accuracy,0.9721347354935141,0.9721347354935141,0.9721347354935141,0.9721347354935141
macro avg,0.868833124417416,0.8102105827737983,0.8242176284702101,224796.0
weighted avg,0.9747029110903668,0.9721347354935141,0.9713587712521213,224796.0
