,precision,recall,f1-score,support
Blackhole,0.6044165452303554,0.9959364610269671,0.7522846180676666,5414.0
Flooding,0.8798586572438163,0.9256505576208178,0.9021739130434783,1883.0
Grayhole,0.9308337613422359,0.5881016765819361,0.7208007424101817,9245.0
Normal,0.9956431271796575,0.996650808939651,0.9961467132221248,204527.0
Scheduling,0.9792106056040977,0.87201502548967,0.922509225092251,3727.0
accuracy,0.9771704122849161,0.9771704122849161,0.9771704122849161,0.9771704122849161
macro avg,0.8779925393200326,0.8756709059318084,0.8587830423671404,224796.0
weighted avg,0.9823131325772546,0.9771704122849161,0.9769415646237553,224796.0
