,precision,recall,f1-score,support
Blackhole,0.6032366071428571,0.9983376431473956,0.7520523166828996,5414.0
Flooding,0.87,0.924057355284121,0.8962142673190832,1883.0
Grayhole,0.9711165903487143,0.5964305029745809,0.7389934999664948,9245.0
Normal,0.996362215874411,0.9976677895827935,0.997014575322118,204527.0
Scheduling,0.9931608682723758,0.8961631338878454,0.9421720733427362,3727.0
accuracy,0.9788830762113205,0.9788830762113205,0.9788830762113205,0.9788830762113205
macro avg,0.8867752563276717,0.8825312849753473,0.8652893465266663,224796.0
weighted avg,0.9847443519948847,0.9788830762113205,0.978749857556756,224796.0
