,precision,recall,f1-score,support
Blackhole,0.604,0.996,0.752,5414
Flooding,0.880,0.926,0.902,1883
Grayhole,0.931,0.588,0.721,9245
Normal,0.996,0.997,0.996,204527
Scheduling,0.979,0.872,0.923,3727
accuracy,0.977,0.977,0.977,0.977170412
macro avg,0.878,0.876,0.859,224796
weighted avg,0.982,0.977,0.977,224796
