,precision,recall,f1-score,support
Blackhole,0.6445760362857503,0.9449575175471001,0.7663845404838588,5414.0
Flooding,0.875605815831987,0.8635156664896442,0.8695187165775401,1883.0
Grayhole,0.8929795796691012,0.6480259599783667,0.7510342233922528,9245.0
Normal,0.9938885501768077,0.9963085558385935,0.9950970816892604,204527.0
Scheduling,0.9859241126070991,0.864502280654682,0.921229449606862,3727.0
accuracy,0.9774506663819641,0.9774506663819641,0.9774506663819641,0.9774506663819641
macro avg,0.8785948189141491,0.8634619961016773,0.8606528023499548,224796.0
weighted avg,0.9802028474501421,0.9774506663819641,0.9772747914825025,224796.0
